Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,VehiclePrice,PoliceReportFiled,WitnessPresent,NumberOfSuppliments,AddressChange_Claim,Deductible,DriverRating,Age,AgeOfVehicle,Fault,AccidentArea,BasePolicy,VehicleCategory,FraudFound_P
more than 30,more than 30,2 to 4,more than 69000,No,No,more than 5,no change,400,4,50,more than 7,Policy Holder,Rural,All Perils,Sedan,1
more than 30,more than 30,2 to 4,more than 69000,No,No,3 to 5,no change,400,4,40,6 years,Policy Holder,Urban,Collision,Sedan,0
more than 30,more than 30,none,20000 to 29000,No,No,1 to 2,no change,400,1,28,7 years,Third Party,Urban,Collision,Sedan,0
more than 30,more than 30,1,30000 to 39000,No,No,none,no change,400,2,30,7 years,Policy Holder,Rural,Liability,Sport,0
more than 30,more than 30,more than 4,30000 to 39000,No,No,none,no change,400,1,26,7 years,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,2 to 4,20000 to 29000,No,No,none,no change,400,1,28,7 years,Policy Holder,Rural,All Perils,Sedan,1
more than 30,more than 30,2 to 4,40000 to 59000,No,No,more than 5,no change,400,4,34,7 years,Policy Holder,Rural,Liability,Sport,0
more than 30,more than 30,2 to 4,40000 to 59000,No,No,3 to 5,no change,400,3,64,more than 7,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,none,20000 to 29000,No,No,none,4 to 8 years,400,3,62,7 years,Policy Holder,Urban,Collision,Sedan,0
more than 30,more than 30,none,20000 to 29000,No,No,more than 5,no change,400,3,38,7 years,Policy Holder,Rural,Collision,Sedan,0
more than 30,more than 30,1,60000 to 69000,No,No,1 to 2,no change,400,4,66,more than 7,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,1,more than 69000,No,No,none,no change,400,1,52,more than 7,Policy Holder,Urban,All Perils,Sedan,1
more than 30,more than 30,2 to 4,30000 to 39000,No,No,none,2 to 3 years,500,2,29,6 years,Third Party,Urban,Collision,Sedan,1
more than 30,more than 30,2 to 4,more than 69000,No,No,none,4 to 8 years,400,1,0,new,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,none,30000 to 39000,No,No,more than 5,no change,400,4,51,more than 7,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,none,30000 to 39000,No,No,none,no change,400,2,28,7 years,Policy Holder,Urban,Collision,Sedan,0
more than 30,more than 30,2 to 4,20000 to 29000,No,No,1 to 2,no change,400,4,28,6 years,Policy Holder,Urban,All Perils,Sedan,1
more than 30,more than 30,2 to 4,20000 to 29000,No,No,none,no change,400,3,29,6 years,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,1,20000 to 29000,No,No,none,4 to 8 years,400,1,45,7 years,Third Party,Urban,Collision,Sedan,0
more than 30,more than 30,more than 4,more than 69000,No,No,1 to 2,no change,400,3,35,5 years,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,none,less than 20000,No,No,none,no change,400,4,27,6 years,Policy Holder,Rural,All Perils,Sedan,0
more than 30,more than 30,2 to 4,20000 to 29000,No,No,more than 5,no change,400,4,29,7 years,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,2 to 4,30000 to 39000,No,No,more than 5,no change,400,2,29,6 years,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,none,more than 69000,No,No,none,no change,400,4,30,7 years,Policy Holder,Urban,Collision,Sport,0
more than 30,more than 30,2 to 4,20000 to 29000,No,No,none,no change,400,4,34,7 years,Third Party,Urban,Collision,Sedan,0
more than 30,more than 30,none,20000 to 29000,No,No,more than 5,no change,400,3,28,7 years,Policy Holder,Urban,All Perils,Sedan,1
more than 30,more than 30,none,more than 69000,No,No,none,no change,400,1,23,6 years,Third Party,Urban,Collision,Sport,0
more than 30,more than 30,none,20000 to 29000,No,No,3 to 5,no change,400,1,75,7 years,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,more than 4,20000 to 29000,No,No,1 to 2,no change,400,3,47,more than 7,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,none,30000 to 39000,No,No,3 to 5,no change,400,4,60,7 years,Third Party,Rural,All Perils,Sedan,0
more than 30,more than 30,none,less than 20000,No,No,none,no change,400,4,59,7 years,Third Party,Urban,All Perils,Sedan,0
more than 30,more than 30,1,less than 20000,No,No,none,no change,400,4,49,more than 7,Policy Holder,Urban,All Perils,Sedan,0
more than 30,more than 30,none,20000 to 29000,No,No,none,no change,400,1,30,6 years,Policy Holder,Urban,Collision,Sedan,1
more than 30,more than 30,1,less than 20000,No,No,none,no change,700,2,58,more than 7,Third Party,Urban,Liability,Sport,0
more than 30,more than 30,none,30000 to 39000,No,No,none,no change,400,2,44,7 years,Policy Holder,Urban,Collision,Sedan,0
more than 30,more than 30,1,more than 69000,No,No,1 to 2,no change,400,3,57,7 years,Policy Holder,Urban,All Perils,Utility,0
more than 30,more than 30,none,20000 to 29000,Yes,No,none,no change,400,4,26,6 years,Third Party,Urban,Collision,Sedan,0
more than 30,more than 30,none,less than 20000,No,No,none,no change,400,3,51,6 years,Policy Holder,Urban,All Perils,Sedan,1
more than 30,more than 30,2 to 4,30000 to 39000,No,No,none,no change,400,1,55,more than 7,Policy Holder,Urban,All Perils,Sedan,1
more than 30,more than 30,more than 4,20000 to 29000,No,No,3 to 5,no change,400,2,46,6 years,Policy Holder,Urban,Collision,Sedan,1
more than 30,more than 30,none,30000 to 39000,No,No,none,no change,400,4,33,6 years,Policy Holder,Urban,All Perils,Sedan,0
more than 30,more than 30,1,20000 to 29000,No,No,more than 5,no change,400,3,44,7 years,Policy Holder,Urban,Collision,Sedan,0
more than 30,more than 30,2 to 4,more than 69000,No,No,none,no change,400,3,0,new,Third Party,Urban,Collision,Sedan,0
more than 30,more than 30,1,30000 to 39000,No,No,more than 5,no change,400,2,37,more than 7,Third Party,Urban,Liability,Sport,0
more than 30,more than 30,more than 4,20000 to 29000,No,No,more than 5,no change,400,1,53,more than 7,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,none,20000 to 29000,No,No,none,no change,400,4,26,5 years,Policy Holder,Urban,All Perils,Sedan,0
more than 30,more than 30,none,more than 69000,No,No,none,4 to 8 years,400,3,32,7 years,Policy Holder,Rural,Collision,Sport,1
more than 30,more than 30,2 to 4,20000 to 29000,No,No,3 to 5,no change,400,1,32,7 years,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,1,more than 69000,No,No,3 to 5,4 to 8 years,400,3,49,more than 7,Policy Holder,Urban,All Perils,Sedan,0
more than 30,more than 30,more than 4,20000 to 29000,No,No,more than 5,no change,400,4,27,6 years,Policy Holder,Urban,Collision,Sedan,0
more than 30,more than 30,2 to 4,30000 to 39000,No,No,more than 5,no change,400,2,32,5 years,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,none,20000 to 29000,No,No,none,no change,400,1,53,7 years,Policy Holder,Urban,Collision,Sedan,0
more than 30,more than 30,none,less than 20000,No,No,3 to 5,no change,400,2,44,more than 7,Third Party,Urban,All Perils,Sedan,0
more than 30,more than 30,2 to 4,20000 to 29000,No,No,more than 5,no change,400,1,70,more than 7,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,2 to 4,less than 20000,No,No,none,no change,400,1,22,5 years,Policy Holder,Urban,All Perils,Sedan,1
more than 30,more than 30,2 to 4,20000 to 29000,No,No,none,no change,400,3,36,6 years,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,1,20000 to 29000,No,No,more than 5,no change,400,4,57,more than 7,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,1,20000 to 29000,No,No,more than 5,4 to 8 years,400,2,35,6 years,Policy Holder,Urban,Collision,Sedan,0
more than 30,more than 30,2 to 4,less than 20000,No,No,more than 5,no change,400,4,49,7 years,Policy Holder,Urban,All Perils,Sedan,0
more than 30,more than 30,1,30000 to 39000,No,No,none,4 to 8 years,400,1,64,more than 7,Third Party,Urban,All Perils,Sedan,0
more than 30,more than 30,1,30000 to 39000,No,No,none,2 to 3 years,500,4,43,more than 7,Third Party,Urban,Collision,Sedan,1
more than 30,more than 30,2 to 4,20000 to 29000,No,No,1 to 2,no change,400,4,47,more than 7,Policy Holder,Urban,All Perils,Sedan,0
more than 30,more than 30,more than 4,20000 to 29000,No,No,more than 5,no change,400,4,45,7 years,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,2 to 4,more than 69000,No,No,none,no change,400,3,0,new,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,none,less than 20000,No,No,1 to 2,no change,400,4,78,more than 7,Third Party,Urban,All Perils,Sedan,0
more than 30,more than 30,2 to 4,more than 69000,No,No,none,no change,400,2,63,more than 7,Policy Holder,Urban,All Perils,Sedan,1
more than 30,more than 30,none,30000 to 39000,No,No,3 to 5,no change,400,3,35,7 years,Policy Holder,Urban,Collision,Sedan,0
more than 30,more than 30,1,20000 to 29000,No,No,3 to 5,no change,400,1,43,6 years,Policy Holder,Urban,Collision,Sedan,0
more than 30,more than 30,none,30000 to 39000,No,No,more than 5,no change,400,2,36,7 years,Policy Holder,Rural,Liability,Sport,0
more than 30,more than 30,none,20000 to 29000,No,No,none,no change,400,2,28,7 years,Third Party,Urban,Collision,Sedan,0
more than 30,more than 30,1,30000 to 39000,No,No,1 to 2,no change,400,3,34,7 years,Policy Holder,Urban,All Perils,Sedan,0
more than 30,more than 30,more than 4,30000 to 39000,No,No,more than 5,no change,400,1,34,6 years,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,2 to 4,30000 to 39000,No,No,none,no change,400,2,39,more than 7,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,none,20000 to 29000,No,No,1 to 2,no change,400,2,57,more than 7,Policy Holder,Rural,Collision,Sedan,0
more than 30,more than 30,2 to 4,40000 to 59000,No,No,more than 5,no change,400,2,41,more than 7,Third Party,Rural,Collision,Sedan,0
more than 30,more than 30,none,more than 69000,No,No,3 to 5,no change,400,1,60,more than 7,Policy Holder,Urban,All Perils,Utility,1
more than 30,more than 30,1,30000 to 39000,No,No,none,no change,400,2,57,more than 7,Policy Holder,Urban,Collision,Sedan,0
more than 30,more than 30,2 to 4,20000 to 29000,No,No,3 to 5,no change,400,3,28,6 years,Policy Holder,Urban,All Perils,Sedan,1
more than 30,more than 30,none,less than 20000,No,No,3 to 5,no change,400,2,46,6 years,Policy Holder,Urban,All Perils,Sedan,0
more than 30,more than 30,1,20000 to 29000,No,No,1 to 2,no change,400,2,42,7 years,Third Party,Urban,All Perils,Sedan,0
more than 30,more than 30,none,20000 to 29000,No,No,more than 5,no change,400,3,53,7 years,Policy Holder,Urban,Collision,Sedan,0
more than 30,more than 30,1,20000 to 29000,No,No,none,no change,400,4,41,7 years,Policy Holder,Rural,Collision,Sedan,0
more than 30,more than 30,1,20000 to 29000,No,No,more than 5,no change,400,4,39,7 years,Policy Holder,Urban,Collision,Sedan,1
more than 30,more than 30,1,less than 20000,No,No,more than 5,no change,400,3,28,7 years,Policy Holder,Urban,All Perils,Sedan,0
more than 30,more than 30,more than 4,30000 to 39000,No,No,1 to 2,no change,400,1,34,6 years,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,2 to 4,more than 69000,No,No,none,no change,400,4,0,new,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,2 to 4,30000 to 39000,No,No,1 to 2,no change,400,4,27,6 years,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,2 to 4,20000 to 29000,No,No,3 to 5,no change,400,1,30,5 years,Policy Holder,Urban,Collision,Sedan,0
more than 30,more than 30,2 to 4,20000 to 29000,No,No,3 to 5,1 year,500,1,32,6 years,Policy Holder,Urban,Collision,Sedan,1
more than 30,more than 30,1,30000 to 39000,No,No,none,no change,400,2,27,6 years,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,2 to 4,20000 to 29000,No,No,more than 5,no change,400,2,33,6 years,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,none,more than 69000,No,No,none,no change,400,4,48,more than 7,Policy Holder,Rural,All Perils,Utility,0
more than 30,more than 30,2 to 4,more than 69000,No,No,none,no change,400,4,62,more than 7,Policy Holder,Urban,All Perils,Utility,0
more than 30,more than 30,2 to 4,20000 to 29000,No,No,3 to 5,no change,400,2,27,6 years,Third Party,Urban,Collision,Sedan,0
more than 30,more than 30,1,20000 to 29000,No,No,none,no change,400,1,70,more than 7,Policy Holder,Rural,All Perils,Sedan,0
more than 30,more than 30,2 to 4,20000 to 29000,No,No,none,no change,400,3,30,5 years,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,none,20000 to 29000,No,No,3 to 5,no change,400,4,26,6 years,Policy Holder,Urban,Collision,Sedan,0
more than 30,more than 30,2 to 4,less than 20000,No,No,none,no change,400,1,80,7 years,Third Party,Urban,All Perils,Sedan,0
more than 30,more than 30,2 to 4,20000 to 29000,No,No,none,no change,400,2,28,3 years,Policy Holder,Urban,Collision,Sedan,1
more than 30,more than 30,more than 4,30000 to 39000,No,No,none,no change,400,2,47,more than 7,Policy Holder,Urban,Collision,Sedan,0
more than 30,more than 30,none,20000 to 29000,No,No,none,no change,400,2,33,5 years,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,1,20000 to 29000,No,No,none,no change,400,3,29,7 years,Policy Holder,Urban,Collision,Sedan,0
more than 30,more than 30,2 to 4,20000 to 29000,No,No,more than 5,no change,400,4,38,7 years,Policy Holder,Urban,Collision,Sedan,0
more than 30,more than 30,1,30000 to 39000,No,No,more than 5,no change,400,3,37,7 years,Policy Holder,Urban,All Perils,Sedan,0
more than 30,more than 30,more than 4,30000 to 39000,No,No,3 to 5,no change,400,1,51,more than 7,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,more than 4,20000 to 29000,No,No,none,no change,400,1,33,4 years,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,none,more than 69000,No,No,none,no change,400,2,0,new,Policy Holder,Urban,All Perils,Sedan,0
more than 30,more than 30,none,less than 20000,No,No,none,no change,400,3,29,6 years,Policy Holder,Urban,All Perils,Sedan,0
more than 30,more than 30,1,more than 69000,No,No,none,no change,400,1,48,7 years,Policy Holder,Urban,All Perils,Utility,1
more than 30,more than 30,1,more than 69000,No,No,more than 5,no change,400,1,59,more than 7,Third Party,Urban,Collision,Sedan,0
15 to 30,15 to 30,none,20000 to 29000,No,No,none,4 to 8 years,400,1,49,5 years,Third Party,Urban,All Perils,Sedan,0
more than 30,more than 30,1,less than 20000,No,No,3 to 5,no change,400,3,41,7 years,Policy Holder,Urban,All Perils,Sedan,1
more than 30,more than 30,2 to 4,20000 to 29000,No,No,none,no change,400,3,34,6 years,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,1,20000 to 29000,No,No,none,no change,400,1,28,6 years,Policy Holder,Urban,Collision,Sedan,0
more than 30,more than 30,2 to 4,20000 to 29000,No,No,more than 5,no change,400,2,24,5 years,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,2 to 4,20000 to 29000,No,No,1 to 2,no change,400,2,28,6 years,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,none,30000 to 39000,No,No,1 to 2,no change,400,3,65,more than 7,Policy Holder,Urban,All Perils,Sedan,0
more than 30,more than 30,none,20000 to 29000,No,No,none,no change,400,3,28,4 years,Policy Holder,Urban,All Perils,Sedan,1
more than 30,more than 30,1,20000 to 29000,No,No,more than 5,no change,400,1,29,7 years,Policy Holder,Rural,All Perils,Sedan,1
more than 30,more than 30,2 to 4,20000 to 29000,No,No,none,no change,400,3,41,more than 7,Policy Holder,Urban,Collision,Sedan,0
more than 30,more than 30,1,20000 to 29000,No,No,none,no change,400,3,52,more than 7,Policy Holder,Urban,All Perils,Sedan,0
more than 30,more than 30,none,less than 20000,No,No,none,no change,400,4,28,7 years,Policy Holder,Rural,All Perils,Sedan,0
more than 30,more than 30,none,20000 to 29000,No,No,none,no change,400,4,33,5 years,Policy Holder,Urban,Collision,Sedan,1
more than 30,more than 30,1,more than 69000,No,No,none,no change,400,1,30,5 years,Third Party,Urban,Collision,Sport,0
more than 30,more than 30,1,30000 to 39000,No,No,more than 5,no change,400,1,36,more than 7,Policy Holder,Urban,Collision,Sedan,0
more than 30,more than 30,2 to 4,more than 69000,No,No,3 to 5,no change,400,2,49,5 years,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,none,30000 to 39000,No,No,none,4 to 8 years,400,2,31,7 years,Policy Holder,Urban,Collision,Sedan,0
more than 30,more than 30,2 to 4,40000 to 59000,Yes,No,more than 5,no change,400,3,37,more than 7,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,2 to 4,30000 to 39000,No,No,3 to 5,no change,400,1,29,6 years,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,none,20000 to 29000,No,No,none,no change,400,4,48,more than 7,Policy Holder,Urban,All Perils,Sedan,1
more than 30,more than 30,none,less than 20000,No,No,none,no change,700,2,37,7 years,Policy Holder,Urban,All Perils,Sedan,1
more than 30,more than 30,2 to 4,20000 to 29000,No,No,3 to 5,no change,400,3,47,7 years,Policy Holder,Rural,Liability,Sport,0
more than 30,more than 30,more than 4,20000 to 29000,No,No,1 to 2,no change,400,1,26,6 years,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,2 to 4,more than 69000,No,No,none,no change,400,1,0,new,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,2 to 4,40000 to 59000,No,No,3 to 5,no change,400,4,41,more than 7,Policy Holder,Urban,All Perils,Sedan,1
more than 30,more than 30,more than 4,20000 to 29000,No,No,none,no change,700,4,46,more than 7,Policy Holder,Urban,Liability,Sport,0
none,more than 30,1,20000 to 29000,No,No,none,no change,400,4,34,6 years,Policy Holder,Urban,Collision,Sedan,1
more than 30,more than 30,1,20000 to 29000,No,No,none,no change,400,1,43,more than 7,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,2 to 4,20000 to 29000,No,No,none,1 year,700,4,30,7 years,Policy Holder,Urban,All Perils,Sedan,1
none,8 to 15,2 to 4,20000 to 29000,No,No,none,no change,400,2,33,6 years,Policy Holder,Rural,Collision,Sedan,1
more than 30,more than 30,none,20000 to 29000,No,No,3 to 5,no change,400,4,37,6 years,Policy Holder,Rural,All Perils,Sedan,0
more than 30,more than 30,2 to 4,more than 69000,No,No,1 to 2,no change,400,2,58,more than 7,Policy Holder,Urban,All Perils,Sedan,1
more than 30,more than 30,2 to 4,20000 to 29000,No,No,1 to 2,no change,400,2,28,6 years,Third Party,Urban,Liability,Sport,0
more than 30,more than 30,2 to 4,more than 69000,No,No,1 to 2,no change,400,1,44,7 years,Policy Holder,Urban,All Perils,Sedan,0
more than 30,more than 30,none,20000 to 29000,No,No,none,no change,400,2,30,6 years,Policy Holder,Rural,Collision,Sedan,0
more than 30,more than 30,none,less than 20000,No,No,1 to 2,no change,400,1,62,more than 7,Policy Holder,Urban,All Perils,Sedan,0
more than 30,more than 30,none,20000 to 29000,No,No,none,no change,400,2,60,more than 7,Policy Holder,Rural,All Perils,Sedan,0
more than 30,more than 30,2 to 4,20000 to 29000,No,No,more than 5,no change,400,4,54,7 years,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,none,more than 69000,No,No,none,no change,700,2,40,more than 7,Policy Holder,Urban,All Perils,Utility,0
more than 30,more than 30,1,more than 69000,No,No,1 to 2,no change,400,2,50,6 years,Policy Holder,Urban,Collision,Sedan,0
more than 30,more than 30,more than 4,30000 to 39000,No,No,none,4 to 8 years,400,2,48,7 years,Policy Holder,Rural,Collision,Sedan,0
more than 30,more than 30,none,less than 20000,No,No,none,no change,400,4,27,5 years,Third Party,Urban,All Perils,Sedan,0
more than 30,more than 30,more than 4,20000 to 29000,No,No,1 to 2,no change,400,3,28,4 years,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,none,20000 to 29000,No,No,none,no change,400,1,34,5 years,Third Party,Urban,Collision,Sedan,0
more than 30,more than 30,more than 4,30000 to 39000,No,No,3 to 5,no change,400,2,28,6 years,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,more than 4,20000 to 29000,No,No,more than 5,no change,400,4,37,6 years,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,2 to 4,more than 69000,No,No,more than 5,no change,400,1,63,7 years,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,1,more than 69000,No,No,more than 5,no change,400,2,55,more than 7,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,1,more than 69000,No,No,more than 5,no change,400,3,43,7 years,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,none,20000 to 29000,No,No,more than 5,no change,400,4,65,more than 7,Policy Holder,Urban,All Perils,Sedan,0
more than 30,more than 30,1,less than 20000,No,No,more than 5,no change,400,4,27,6 years,Policy Holder,Urban,All Perils,Sedan,1
more than 30,more than 30,more than 4,30000 to 39000,Yes,No,more than 5,no change,400,2,51,more than 7,Third Party,Urban,Collision,Sedan,0
more than 30,more than 30,1,more than 69000,No,No,none,no change,400,2,37,7 years,Policy Holder,Urban,Liability,Utility,0
more than 30,more than 30,2 to 4,less than 20000,Yes,No,1 to 2,no change,400,3,37,7 years,Policy Holder,Urban,All Perils,Sedan,0
more than 30,more than 30,more than 4,40000 to 59000,No,No,more than 5,2 to 3 years,500,2,27,7 years,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,1,30000 to 39000,No,No,more than 5,no change,400,4,34,7 years,Policy Holder,Urban,Collision,Sedan,0
more than 30,more than 30,2 to 4,20000 to 29000,No,No,1 to 2,no change,400,4,50,7 years,Policy Holder,Urban,Collision,Sedan,0
more than 30,more than 30,1,30000 to 39000,No,No,none,no change,400,1,50,more than 7,Policy Holder,Urban,Collision,Sedan,1
more than 30,more than 30,none,30000 to 39000,No,No,1 to 2,4 to 8 years,400,1,35,6 years,Policy Holder,Urban,Collision,Sedan,1
more than 30,more than 30,1,more than 69000,No,No,1 to 2,no change,400,4,31,6 years,Third Party,Urban,All Perils,Sedan,0
more than 30,more than 30,none,20000 to 29000,No,No,3 to 5,no change,400,2,31,7 years,Third Party,Urban,Collision,Sedan,0
more than 30,more than 30,2 to 4,20000 to 29000,No,No,none,no change,400,2,54,7 years,Third Party,Urban,All Perils,Sedan,0
more than 30,more than 30,more than 4,20000 to 29000,No,No,none,no change,400,2,22,5 years,Policy Holder,Urban,Collision,Sedan,0
more than 30,more than 30,2 to 4,20000 to 29000,No,No,1 to 2,no change,400,4,32,4 years,Third Party,Rural,Collision,Sedan,0
more than 30,more than 30,more than 4,30000 to 39000,No,No,3 to 5,no change,400,4,32,6 years,Policy Holder,Urban,Liability,Sport,0
8 to 15,15 to 30,none,20000 to 29000,No,No,none,no change,400,4,26,6 years,Third Party,Urban,Collision,Sedan,0
more than 30,more than 30,2 to 4,20000 to 29000,No,No,more than 5,no change,700,3,80,more than 7,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,none,30000 to 39000,No,No,none,no change,400,2,46,more than 7,Third Party,Urban,Collision,Sedan,0
more than 30,more than 30,none,30000 to 39000,No,No,none,no change,400,4,30,6 years,Policy Holder,Urban,Collision,Sedan,0
more than 30,more than 30,more than 4,40000 to 59000,No,No,more than 5,no change,400,4,49,5 years,Third Party,Urban,All Perils,Sedan,0
more than 30,more than 30,more than 4,40000 to 59000,No,No,none,no change,400,1,43,more than 7,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,none,less than 20000,No,No,1 to 2,no change,400,3,40,more than 7,Policy Holder,Urban,All Perils,Sedan,1
more than 30,more than 30,2 to 4,20000 to 29000,No,No,none,2 to 3 years,500,4,38,7 years,Third Party,Urban,All Perils,Sedan,1
more than 30,more than 30,2 to 4,more than 69000,No,No,none,no change,400,2,58,more than 7,Third Party,Urban,Collision,Sport,0
more than 30,more than 30,none,20000 to 29000,No,No,1 to 2,no change,400,4,33,5 years,Policy Holder,Urban,Collision,Sedan,1
more than 30,more than 30,2 to 4,40000 to 59000,No,No,more than 5,no change,400,4,32,7 years,Policy Holder,Urban,Collision,Sedan,0
more than 30,more than 30,none,20000 to 29000,No,No,none,no change,400,1,56,6 years,Third Party,Urban,Collision,Sedan,0
more than 30,more than 30,more than 4,20000 to 29000,No,No,more than 5,no change,400,1,35,7 years,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,none,less than 20000,No,No,1 to 2,no change,400,4,66,7 years,Policy Holder,Urban,All Perils,Sedan,0
more than 30,more than 30,2 to 4,40000 to 59000,No,No,3 to 5,no change,400,4,42,6 years,Policy Holder,Rural,All Perils,Sedan,0
more than 30,more than 30,none,less than 20000,No,No,none,no change,400,2,52,7 years,Third Party,Urban,All Perils,Sedan,0
8 to 15,more than 30,none,less than 20000,No,No,1 to 2,no change,400,4,64,7 years,Policy Holder,Urban,All Perils,Sedan,0
more than 30,more than 30,2 to 4,20000 to 29000,No,No,1 to 2,no change,400,3,26,6 years,Policy Holder,Urban,Collision,Sedan,0
more than 30,more than 30,2 to 4,20000 to 29000,No,No,none,no change,400,1,37,7 years,Third Party,Rural,Collision,Sedan,0
more than 30,more than 30,none,20000 to 29000,No,No,none,no change,400,4,32,6 years,Policy Holder,Urban,Collision,Sedan,0
more than 30,more than 30,none,more than 69000,No,No,none,2 to 3 years,500,2,56,more than 7,Policy Holder,Urban,Collision,Sport,0
more than 30,more than 30,more than 4,20000 to 29000,No,No,1 to 2,no change,400,4,27,6 years,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,1,20000 to 29000,No,No,more than 5,no change,400,4,32,6 years,Policy Holder,Urban,All Perils,Sedan,1
more than 30,more than 30,none,more than 69000,No,No,1 to 2,no change,400,4,58,more than 7,Third Party,Urban,All Perils,Sedan,0
more than 30,more than 30,none,30000 to 39000,No,No,1 to 2,no change,400,4,33,6 years,Third Party,Urban,Collision,Sedan,0
more than 30,more than 30,2 to 4,more than 69000,No,No,none,no change,400,4,39,6 years,Policy Holder,Urban,All Perils,Sedan,0
more than 30,more than 30,none,30000 to 39000,No,No,none,4 to 8 years,400,2,64,7 years,Policy Holder,Urban,Collision,Sedan,0
more than 30,more than 30,2 to 4,20000 to 29000,No,No,3 to 5,no change,400,4,77,more than 7,Policy Holder,Urban,Collision,Sedan,1
more than 30,more than 30,more than 4,40000 to 59000,No,No,more than 5,no change,700,4,65,7 years,Policy Holder,Urban,Collision,Sedan,0
more than 30,more than 30,2 to 4,more than 69000,No,No,none,no change,400,1,46,more than 7,Policy Holder,Urban,All Perils,Sedan,0
more than 30,more than 30,more than 4,20000 to 29000,No,No,more than 5,no change,400,4,21,5 years,Policy Holder,Urban,Collision,Sedan,0
more than 30,more than 30,none,30000 to 39000,No,No,none,no change,400,4,58,more than 7,Policy Holder,Urban,All Perils,Sedan,0
more than 30,more than 30,2 to 4,20000 to 29000,No,No,1 to 2,no change,400,2,52,7 years,Policy Holder,Rural,Collision,Sedan,1
more than 30,more than 30,1,20000 to 29000,No,No,1 to 2,no change,400,3,37,7 years,Third Party,Urban,All Perils,Sedan,0
more than 30,more than 30,1,30000 to 39000,No,No,none,no change,400,3,36,7 years,Policy Holder,Urban,Collision,Sedan,1
more than 30,more than 30,none,less than 20000,No,No,more than 5,no change,400,4,64,more than 7,Policy Holder,Rural,All Perils,Sedan,0
more than 30,more than 30,2 to 4,20000 to 29000,No,No,more than 5,no change,400,2,31,7 years,Policy Holder,Urban,Liability,Sport,0
more than 30,more than 30,2 to 4,20000 to 29000,No,No,more than 5,no change,400,3,49,more than 7,Policy Holder,Urban,Collision,Sedan,0
more than 30,more than 30,2 to 4,20000 to 29000,No,No,none,no change,400,1,35,6 years,Third Party,Urban,All Perils,Sedan,0
more than 30,more than 30,more than 4,20000 to 29000,No,No,none,no change,400,1,28,6 years,Policy Holder,Urban,Liability,Sport,0
